contador_extraccion_total,contador_extraccion,titulo,marca,precio_texto,precio_valor,moneda,tamaño,calificacion,numero_opiniones,detalles_adicionales,fuente,categoria,imagen,link,pagina,fecha_extraccion,extraction_status
1,1,Televisor SAMSUNG 58 pulgadas LED Uhd4K Smart TV UN58U8000FKXZL,SAMSUNG,COP 2019900,2019900,COP,"58""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 58"" pulgadas LED Uhd-4K Smart TV UN58U8000FKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 58"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: Crystal Processor 4K. Garantía: 1AÑO. Peso: 12 kg. Ancho: 128.057 cm. Alto: 74.009 cm. Profundidad: 7.068 cm. Modelo: UN58U8000FKXZL. Referencia: UN58U8000FKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27471667/Televisor-SAMSUNG-58-pulgadas-LED-Uhd-4K-Smart-TV-UN58U8000FKXZL-3688427_a.jpg?v=638864529664630000,https://www.exito.com/televisor-samsung-58-pulgadas-led-uhd-4k-smart-tv-un58u8000fkxzl-3209290/p,1,2025-09-25T14:57:28,OK
2,2,Televisor SAMSUNG 65 pulgadas LED Uhd4K Smart TV UN65U8000FKXZL,SAMSUNG,COP 2299900,2299900,COP,"65""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 65"" pulgadas LED Uhd-4K Smart TV UN65U8000FKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 65"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: Crystal Processor 4K. Garantía: 1AÑO. Peso: 14.002 kg. Ancho: 144.001 cm. Alto: 83.012 cm. Profundidad: 7.068 cm. Modelo: UN65U8000FKXZL. Referencia: UN65U8000FKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/28707422/Televisor-SAMSUNG-65-pulgadas-LED-Uhd-4K-Smart-TV-UN65U8000FKXZL-3707071_a.jpg?v=638850909255500000,https://www.exito.com/televisor-samsung-65-pulgadas-led-uhd-4k-smart-tv-un65u8000fkxzl-3213988/p,1,2025-09-25T14:57:29,OK
3,3,Televisor LG 60 pulgadas LED Uhd4K Smart TV 60UA7500PSA.AWC,LG,COP 1999900,1999900,COP,"60""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor LG 60"" pulgadas LED Uhd-4K Smart TV 60UA7500PSA.AWC. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 60"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: WebOS. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Garantía: 1 AÑO. Peso: 17.1 kg. Ancho: 135.6 cm. Alto: 84.7 cm. Profundidad: 26.9 cm. Modelo: 60UA7500PSA.AWC. Referencia: 60UA7500PSA.AWC",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30829433/Televisor-LG-60-pulgadas-LED-Uhd-4K-Smart-TV-60UA7500PSAAWC-3735625_a.jpg?v=638932889288170000,https://www.exito.com/televisor-lg-60-pulgadas-led-uhd-4k-smart-tv-60ua7500psaawc-3221488/p,1,2025-09-25T14:57:31,OK
4,4,Televisor KALLEY 55 pulgadas LED Uhd4K Smart TV TV55SB300 + Roku Express,KALLEY,COP 1868900,1868900,COP,"55""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor KALLEY 55"" pulgadas LED Uhd-4K Smart TV TV55SB300 + Roku Express. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 55"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Linux. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 20 Watts. Procesador: NT72671D. Garantía: 24 Meses. Peso: 9.7 kg. Ancho: 27.43 cm. Alto: 77.43 cm. Profundidad: 122.6 cm. Modelo: TV55SB300 + Roku Express. Referencia: TV55SB300 + Roku Express",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27732229/Televisor-KALLEY-55-pulgadas-LED-Uhd-4K-Smart-TV-TV55SB300-Roku-Express-3712471_a.jpg?v=638841183288800000,https://www.exito.com/televisor-kalley-55-pulgadas-led-uhd-4k-smart-tv-tv55sb300-roku-express-3215156/p,1,2025-09-25T14:57:32,OK
5,5,Televisor LG 65 pulgadas LED Uhd4K Smart TV 65UA7500PSA.AWC,LG,COP 2399900,2399900,COP,"65""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor LG 65"" pulgadas LED Uhd-4K Smart TV 65UA7500PSA.AWC. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 65"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: WebOS. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Garantía: 1 AÑO. Peso: 16.7 kg. Ancho: 145.5 cm. Alto: 90.4 cm. Profundidad: 26.9 cm. Modelo: 65UA7500PSA.AWC. Referencia: 65UA7500PSA.AWC",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30829331/Televisor-LG-65-pulgadas-LED-Uhd-4K-Smart-TV-65UA7500PSAAWC-3704967_a.jpg?v=638932888977000000,https://www.exito.com/televisor-lg-65-pulgadas-led-uhd-4k-smart-tv-65ua7500psaawc-3213208/p,1,2025-09-25T14:57:34,OK
6,6,Televisor HISENSE 65 pulgadas LED Uhd4K Smart TV 65A6NV,HISENSE,COP 1949900,1949900,COP,"65""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor HISENSE 65"" pulgadas LED Uhd-4K Smart TV 65A6NV. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 65"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Vidaa. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 24W. Garantía: 1 AÑO. Peso: 15 kg. Ancho: 1450.999 cm. Alto: 860 cm. Profundidad: 74 cm. Modelo: 65A6NV. Referencia: 65A6NV",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30946249/Televisor-HISENSE-65-pulgadas-LED-Uhd-4K-Smart-TV-65A6NV-3685430_a.jpg?v=638938903589830000,https://www.exito.com/televisor-hisense-65-pulgadas-led-uhd-4k-smart-tv-65a6nv-3208350/p,1,2025-09-25T14:57:35,OK
7,7,Televisor HISENSE 58 pulgadas LED Uhd4K Smart TV 58A6NV,HISENSE,COP 1599900,1599900,COP,"58""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor HISENSE 58"" pulgadas LED Uhd-4K Smart TV 58A6NV. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 58"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Vidaa. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 24W. Garantía: 1 AÑO. Peso: 12 kg. Ancho: 1295 cm. Alto: 752 cm. Profundidad: 70 cm. Modelo: 58A6NV. Referencia: 58A6NV",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30946241/Televisor-HISENSE-58-pulgadas-LED-Uhd-4K-Smart-TV-58A6NV-3685429_a.jpg?v=638938903555970000,https://www.exito.com/televisor-hisense-58-pulgadas-led-uhd-4k-smart-tv-58a6nv-3208349/p,1,2025-09-25T14:57:36,OK
8,8,Televisor KALLEY 40 pulgadas LED Fhd Smart TV Roku TV,KALLEY,COP 987900,987900,COP,"40""",5.0,1,"Descripción: Lleva a casa fácil y rápido Televisor KALLEY 40"" pulgadas LED Fhd Smart TV Roku TV. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 40"" pulgadas. Resolución de la pantalla: Fhd. Resolución: Fhd. Sistema operativo: Roku TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 16 Watts RMS (2 x 8 W). Procesador: R816SA. Garantía: 24 MESES. Peso: 5.6 kg. Ancho: 21.19 cm. Alto: 50.89 cm. Profundidad: 89.24 cm. Modelo: Roku TV. Referencia: K-RTV40FHD",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29176307/Televisor-KALLEY-40-Pulgadas-LED-Fhd-Smart-TV-Roku-TV-3620439_a.jpg?v=638883826730170000,https://www.exito.com/televisor-kalley-40-pulgadas-led-fhd-smart-tv-roku-tv-3190175/p,1,2025-09-25T14:57:38,OK
9,9,Televisor Samsung 55 Pulgadas Smarttv 4K Uhd Un55cu7000kxzl Negro,SAMSUNG,COP 1839900,1839900,COP,"55""",5.0,1,"Descripción: Lleva a casa fácil y rápido Televisor Samsung 55 Pulgadas Smarttv 4K Uhd Un55cu7000kxzl Negro. Encuentra aquí calidad y garantía. Compra seguro en Éxito.. Especificaciones: Vendido por: Otros vendedores. Factor Neto PUM: 10,0. Unidad de Medida PUM Calculado: Unidad. Factor Escurrido PUM: 1",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29447563/televisor-samsung-55-pulgadas-smarttv-4k-uhd-un55cu7000kxzl-negro.jpg?v=638895739227870000,https://www.exito.com/televisor-samsung-55-pulgadas-led-ultra-hd-4k-smart-tv-un55du7000/p,1,2025-09-25T14:57:39,OK
10,10,Televisor LG 55 pulgadas QNED Uhd4K Smart TV 55QNED70ASA.AWC,LG,COP 2199900,2199900,COP,"55""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor LG 55"" pulgadas QNED Uhd-4K Smart TV 55QNED70ASA.AWC. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 55"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: WebOS. Tipo de pantalla: QNED. Tipo De pantalla: QNED. Smart TV: Si. Conexión Wi-fi: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Garantía: 1 AÑO. Peso: 11.6 kg. Ancho: 123.6 cm. Alto: 77.2 cm. Profundidad: 23.5 cm. Modelo: 55QNED70ASA.AWC. Referencia: 55QNED70ASA.AWC",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30829455/Televisor-LG-55-pulgadas-QNED-Uhd-4K-Smart-TV-55QNED70ASAAWC-3735627_a.jpg?v=638932889355500000,https://www.exito.com/televisor-lg-55-pulgadas-qned-uhd-4k-smart-tv-55qned70asaawc-3221490/p,1,2025-09-25T14:57:41,OK
11,11,Televisor SAMSUNG 75 pulgadas QLED Uhd4K Smart TV QN75Q6FAAKXZL,SAMSUNG,COP 4150900,4150900,COP,"75""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 75"" pulgadas QLED Uhd-4K Smart TV QN75Q6FAAKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 75"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: QLED. Tipo De pantalla: QLED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: Quantum HDR. Garantía: 1AÑO. Peso: 22.4 kg. Ancho: 166.081 cm. Alto: 95.078 cm. Profundidad: 7.007 cm. Modelo: QN75Q6FAAKXZL. Referencia: QN75Q6FAAKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29791947/Televisor-SAMSUNG-75-pulgadas-QLED-Uhd-4K-Smart-TV-QN75Q6FAAKXZL-3719220_a.jpg?v=638917313025330000,https://www.exito.com/televisor-samsung-75-pulgadas-qled-uhd-4k-smart-tv-qn75q6faakxzl-3217117/p,1,2025-09-25T14:57:41,OK
12,12,Televisor TCL 43 pulgadas QLED Fhd Smart TV 43S5K,TCL,COP 959900,959900,COP,"43""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor TCL 43"" pulgadas QLED Fhd Smart TV 43S5K. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 43"" pulgadas. Resolución de la pantalla: Fhd. Resolución: Fhd. Sistema operativo: Google TV. Tipo de pantalla: QLED. Tipo De pantalla: QLED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 2. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: MT9221. Garantía: 2 Años. Peso: 5.02 kg. Ancho: 95.4 cm. Alto: 55.4 cm. Profundidad: 7.7 cm. Modelo: 43S5K. Referencia: 43S5K",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29720430/Televisor-TCL-43-pulgadas-LED-Fhd-Smart-TV-43S5K-3712996_a.jpg?v=638912063371500000,https://www.exito.com/televisor-tcl-43-pulgadas-led-fhd-smart-tv-43s5k-3215487/p,1,2025-09-25T14:57:41,OK
13,13,Televisor  CAIXUN 32 pulgadas LED Hd Smart TV C32VAHW,CAIXUN,COP 579900,579900,COP,"32""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CAIXUN 32"" pulgadas LED Hd Smart TV C32VAHW. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 32"" pulgadas. Resolución de la pantalla: Hd. Resolución: Hd. Sistema operativo: WebOS. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 8 Watts x 2 CH. Procesador: ARM CA53 Quad Core. Garantía: 2 AÑOS. Peso: 3.35 kg. Ancho: 71.92 cm. Alto: 48.43 cm. Profundidad: 20.79 cm. Modelo: C32VAHW. Referencia: C32VAHW",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27705418/Televisor-CAIXUN-32-pulgadas-LED-Hd-Smart-TV-C32VAHW-3711903_a.jpg?v=638839602169500000,https://www.exito.com/televisor-caixun-32-pulgadas-led-hd-smart-tv-c32vahw-3215007/p,1,2025-09-25T14:57:41,OK
14,14,Televisor SAMSUNG 55 pulgadas QLED Uhd4K Smart TV QN55Q7FAAKXZL,SAMSUNG,COP 2593900,2593900,COP,"55""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 55"" pulgadas QLED Uhd-4K Smart TV QN55Q7FAAKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 55"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: QLED. Tipo De pantalla: QLED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: Quantum HDR. Garantía: 1AÑO. Peso: 10.008 kg. Ancho: 123.041 cm. Alto: 71.008 cm. Profundidad: 6.003 cm. Modelo: QN55Q7FAAKXZL. Referencia: QN55Q7FAAKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30799779/Televisor-SAMSUNG-55-pulgadas-QLED-Uhd-4K-Smart-TV-QN55Q7FAAKXZL-3706370_a.jpg?v=638932022702200000,https://www.exito.com/televisor-samsung-55-pulgadas-qled-uhd-4k-smart-tv-qn55q7faakxzl-3213824/p,1,2025-09-25T14:57:41,OK
15,15,Televisor SAMSUNG 65 pulgadas QLED Uhd4K Smart TV QN65Q7FAAKXZL,SAMSUNG,COP 2985500,2985500,COP,"65""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 65"" pulgadas QLED Uhd-4K Smart TV QN65Q7FAAKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 65"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: QLED. Tipo De pantalla: QLED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: Quantum HDR. Garantía: 1AÑO. Peso: 16.7 kg. Ancho: 145.029 cm. Alto: 83.004 cm. Profundidad: 6.006 cm. Modelo: QN65Q7FAAKXZL. Referencia: QN65Q7FAAKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30799747/Televisor-SAMSUNG-65-pulgadas-QLED-Uhd-4K-Smart-TV-QN65Q7FAAKXZL-3688430_a.jpg?v=638932022630900000,https://www.exito.com/televisor-samsung-65-pulgadas-qled-uhd-4k-smart-tv-qn65q7faakxzl-3209293/p,1,2025-09-25T14:57:41,OK
16,16,Televisor SAMSUNG 50 pulgadas LED Uhd4K Smart TV UN50U8000FKXZL,SAMSUNG,COP 1548900,1548900,COP,"50""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 50"" pulgadas LED Uhd-4K Smart TV UN50U8000FKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 50"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20W. Procesador: Crystal Processor 4K. Garantía: 1AÑO. Peso: 8 kg. Ancho: 111.008 cm. Alto: 64.038 cm. Profundidad: 7.064 cm. Modelo: UN50U8000FKXZL. Referencia: UN50U8000FKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29688650/Televisor-SAMSUNG-50-pulgadas-LED-Uhd-4K-Smart-TV-UN50U8000FKXZL-3688426_a.jpg?v=638908727038130000,https://www.exito.com/televisor-samsung-50-pulgadas-led-uhd-4k-smart-tv-un50u8000fkxzl-3209289/p,1,2025-09-25T14:57:41,OK
