contador_extraccion_total,contador_extraccion,titulo,marca,precio_texto,precio_valor,moneda,tamaño,calificacion,numero_opiniones,detalles_adicionales,fuente,categoria,imagen,link,pagina,fecha_extraccion,extraction_status
34,34,Televisor HISENSE 65 pulgadas QLED Uhd4K Smart TV 65Q6QV,HISENSE,COP 2399900,2399900,COP,"65""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor HISENSE 65"" pulgadas QLED Uhd-4K Smart TV 65Q6QV. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 65"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Vidaa. Tipo de pantalla: QLED. Tipo De pantalla: QLED. Smart TV: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 24W. Garantía: 2 AÑOS. Peso: 13 kg. Ancho: 1450.999 cm. Alto: 860 cm. Profundidad: 74 cm. Modelo: 65Q6QV. Referencia: 65Q6QV",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30946289/Televisor-HISENSE-65-pulgadas-QLED-Uhd-4K-Smart-TV-65Q6QV-3685435_a.jpg?v=638938903763870000,https://www.exito.com/televisor-hisense-65-pulgadas-qled-uhd-4k-smart-tv-65q6qv-3208355/p,1,2025-09-25T14:57:41,OK
35,35,Televisor HISENSE 75 pulgadas LED Uhd4K Smart TV 75A6NV,HISENSE,COP 2999900,2999900,COP,"75""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor HISENSE 75"" pulgadas LED Uhd-4K Smart TV 75A6NV. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 75"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Vidaa. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 36W. Garantía: 1 AÑO. Peso: 18 kg. Ancho: 1676 cm. Alto: 964 cm. Profundidad: 79 cm. Modelo: 75A6NV. Referencia: 75A6NV",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/30946265/Televisor-HISENSE-75-pulgadas-LED-Uhd-4K-Smart-TV-75A6NV-3685432_a.jpg?v=638938903656170000,https://www.exito.com/televisor-hisense-75-pulgadas-led-uhd-4k-smart-tv-75a6nv-3208352/p,1,2025-09-25T14:57:41,OK
36,36,Televisor KALLEY 40 pulgadas LED Fhd Smart TV 40G200 FHD,KALLEY,COP 799000,799000,COP,"40""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor KALLEY 40"" pulgadas LED Fhd Smart TV 40G200 FHD. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 40"" pulgadas. Resolución de la pantalla: Fhd. Resolución: Fhd. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 2. Número De Puertos USB: 1. Potencia de Audio: 2×10 Watts. Procesador: RT2841A. Garantía: 24 MESES. Peso: 4.8 kg. Ancho: 21.19 cm. Alto: 55.67 cm. Profundidad: 89.24 cm. Modelo: 40G200 FHD. Referencia: 40G200 FHD",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27121482/Televisor-KALLEY-40-pulgadas-LED-Fhd-Smart-TV-40G200-FHD-3673735_a.jpg?v=638786912517030000,https://www.exito.com/televisor-kalley-40-pulgadas-led-fhd-smart-tv-40g200-fhd-3205520/p,1,2025-09-25T14:57:41,OK
37,37,Televisor CHALLENGER 43 pulgadas LED Fhd Smart TV 43KG84,CHALLENGER,COP 989900,989900,COP,"43""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CHALLENGER 43"" pulgadas LED Fhd Smart TV 43KG84. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 43"" pulgadas. Resolución de la pantalla: Fhd. Resolución: Fhd. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 2. Número De Puertos USB: 2. Potencia de Audio: 6W X 2. Garantía: 1 AÑO. Peso: 6.2 kg. Ancho: 96.2 cm. Alto: 61.3 cm. Profundidad: 23 cm. Modelo: 43KG84. Referencia: 43KG84",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27121458/Televisor-CHALLENGER-43-Pulgadas-LED-Fhd-Smart-TV-43KG84-3666365_a.jpg?v=638793185609200000,https://www.exito.com/televisor-challenger-43-pulgadas-led-fhd-smart-tv-43kg84-3203758/p,1,2025-09-25T14:57:41,OK
38,38,Televisor HYUNDAI 50 pulgadas LED Uhd4K Smart TV HYLED5023R4KM,HYUNDAI,COP 1259900,1259900,COP,"50""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor HYUNDAI 50"" pulgadas LED Uhd-4K Smart TV HYLED5023R4KM. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 50"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Roku TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 8W - 12W. Procesador: Cortex-A55 *4 @ 1.89GHz. Garantía: 1 AÑO. Peso: 9.2 kg. Ancho: 111 cm. Alto: 69.7 cm. Profundidad: 27.8 cm. Modelo: HYLED5023R4KM. Referencia: HYLED5023R4KM",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/28991312/Televisor-HYUNDAI-50-pulgadas-LED-Uhd-4K-Smart-TV-HYLED5023R4KM-3649832_a.jpg?v=638870610157530000,https://www.exito.com/televisor-hyundai-50-pulgadas-led-uhd-4k-smart-tv-hyled5023r4km-3200159/p,1,2025-09-25T14:57:41,OK
39,39,Televisor CHALLENGER 40 pulgadas LED Fhd Smart TV 40KG84,CHALLENGER,COP 915900,915900,COP,"40""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CHALLENGER 40"" pulgadas LED Fhd Smart TV 40KG84. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 40"" pulgadas. Resolución de la pantalla: Fhd. Resolución: Fhd. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 2. Número De Puertos USB: 2. Potencia de Audio: 6W X 2. Garantía: 1 AÑO. Peso: 5.6 kg. Ancho: 89.1 cm. Alto: 57.5 cm. Profundidad: 20 cm. Modelo: 40KG84. Referencia: 40KG84",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29182404/Televisor-CHALLENGER-40-Pulgadas-LED-Fhd-Smart-TV-40KG84-3623121_a.jpg?v=638883885963270000,https://www.exito.com/televisor-challenger-40-pulgadas-led-fhd-smart-tv-40kg84-3191239/p,1,2025-09-25T14:57:41,OK
40,40,Televisor CHALLENGER 55 pulgadas LED Uhd4K Smart TV UHD55BO67,CHALLENGER,COP 1515900,1515900,COP,"55""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CHALLENGER 55"" pulgadas LED Uhd-4K Smart TV UHD55BO67. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 55"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 10W X 2. Garantía: 1 AÑO. Peso: 10.2 kg. Ancho: 122.6 cm. Alto: 76.4 cm. Profundidad: 26.7 cm. Modelo: UHD55BO67. Referencia: UHD55BO67",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27121355/Televisor-CHALLENGER-55-Pulgadas-LED-Uhd-4K-Smart-TV-UHD55BO67-3611755_a.jpg?v=638793187207230000,https://www.exito.com/televisor-challenger-55-pulgadas-led-uhd-4k-smart-tv-uhd55bo67-3187578/p,1,2025-09-25T14:57:41,OK
41,41,Televisor SAMSUNG 50 pulgadas LED Uhd4K Smart TV UN50DU7000KXZL,SAMSUNG,COP 1775400,1775400,COP,"50""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 50"" pulgadas LED Uhd-4K Smart TV UN50DU7000KXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 50"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20 W. Procesador: Crystal Processor 4K. Garantía: 1 AÑO. Peso: 14.2 kg. Ancho: 76 cm. Alto: 127 cm. Profundidad: 15.4 cm. Modelo: UN50DU7000KXZL. Referencia: UN50DU7000KXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29103021/TV-LED-50-127CM-UHD-4K-SAMSUNG-50-Pulgadas-LED-Uhd-4K-Smart-TV-UN50DU7000KXZL-3569033_a.jpg?v=638881227753000000,https://www.exito.com/tv-led-50-127cm-uhd-4k-samsung-50-pulgadas-led-uhd-4k-smart-tv-un50du7000kxzl-3176625/p,1,2025-09-25T14:57:41,OK
42,42,Televisor SAMSUNG 43 pulgadas LED Uhd4K Smart TV UN43DU7000KXZL,SAMSUNG,COP 1599900,1599900,COP,"43""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 43"" pulgadas LED Uhd-4K Smart TV UN43DU7000KXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 43"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20 W. Procesador: Crystal Processor 4K. Garantía: 1 AÑO. Peso: 10.5 kg. Ancho: 66.5 cm. Alto: 109 cm. Profundidad: 14.7 cm. Modelo: UN43DU7000KXZL. Referencia: UN43DU7000KXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27121116/TV-LED-43-109-CM-UHD-4K-SAMSUNG-43-Pulgadas-LED-Uhd-4K-Smart-TV-UN43DU7000KXZL-3569032_a.jpg?v=638786910347830000,https://www.exito.com/tv-led-43-109-cm-uhd-4k-samsung-43-pulgadas-led-uhd-4k-smart-tv-un43du7000kxzl-3176624/p,1,2025-09-25T14:57:41,OK
43,43,Televisor SAMSUNG 75 pulgadas QLED Uhd4K Smart TV QN75Q60DAKXZL,SAMSUNG,COP 4779500,4779500,COP,"75""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 75"" pulgadas QLED Uhd-4K Smart TV QN75Q60DAKXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 75"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: QLED. Tipo De pantalla: QLED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 20W. Procesador: Quantum Processor Lite 4K. Garantía: 1 AÑO. Peso: 32 kg. Ancho: 167.6 cm. Alto: 99.7 cm. Profundidad: 32 cm. Modelo: QN75Q60DAKXZL. Referencia: QN75Q60DAKXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/29175870/Televisor-SAMSUNG-75-Pulgadas-LED-Uhd-4K-Smart-TV-QN75Q60DAKXZL-3538994_a.jpg?v=638883825332500000,https://www.exito.com/televisor-samsung-75-pulgadas-led-uhd-4k-smart-tv-qn75q60dakxzl-3162453/p,1,2025-09-25T14:57:41,OK
44,44,Televisor CAIXUN 55 pulgadas LED Uhd4K Smart TV C55VAUG,CAIXUN,COP 1881900,1881900,COP,"55""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CAIXUN 55"" pulgadas LED Uhd-4K Smart TV C55VAUG. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 55"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 4. Número De Puertos USB: 2. Potencia de Audio: 10 Watts x 2 CH. Garantía: 2 AÑOS. Peso: 11.5 kg. Ancho: 124 cm. Alto: 71.6 cm. Profundidad: 8.2 cm. Modelo: C55VAUG. Referencia: C55VAUG",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27120538/Televisor-CAIXUN-55-Pulgadas-LED-Uhd-4K-Smart-TV-C55VAUG-3526596_a.jpg?v=638821335417300000,https://www.exito.com/televisor-caixun-55-pulgadas-led-uhd-4k-smart-tv-c55vaug-3158883/p,1,2025-09-25T14:57:41,OK
45,45,Televisor  CAIXUN 65 pulgadas LED Uhd4K Smart TV C65VAUG,CAIXUN,COP 2409900,2409900,COP,"65""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CAIXUN 65"" pulgadas LED Uhd-4K Smart TV C65VAUG. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 65"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 4. Número De Puertos USB: 2. Potencia de Audio: 12 Watts x 2 CH. Procesador: ARM CA53 Quad Core. Garantía: 2 AÑOS. Peso: 16.7 kg. Ancho: 144.59 cm. Alto: 89.18 cm. Profundidad: 26.72 cm. Modelo: C65VAUG. Referencia: C65VAUG",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27120209/Televisor-CAIXUN-65-Pulgadas-LED-Uhd-4K-Smart-TV-LED-2023-3417749_a.jpg?v=638821335674170000,https://www.exito.com/televisor-caixun-65-pulgadas-led-uhd-4k-smart-tv-led-2023-3131839/p,1,2025-09-25T14:57:41,OK
46,46,Televisor  CAIXUN 43 pulgadas LED Uhd4K Smart TV C43VAUG,CAIXUN,COP 979900,979900,COP,"43""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CAIXUN 43"" pulgadas LED Uhd-4K Smart TV C43VAUG. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 43"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 4. Número De Puertos USB: 2. Potencia de Audio: 8 Watts x 2 CH. Procesador: ARM CA53 Quad Core. Garantía: 2 AÑOS. Peso: 6.5 kg. Ancho: 97.014 cm. Alto: 56.39 cm. Profundidad: 9.1 cm. Modelo: C43VAUG. Referencia: C43VAUG",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27120197/Televisor-CAIXUN-43-Pulgadas-LED-Uhd-4K-Smart-TV-LED-2023-3417747_a.jpg?v=638786905925530000,https://www.exito.com/televisor-caixun-43-pulgadas-led-uhd-4k-smart-tv-led-2023-3131837/p,1,2025-09-25T14:57:41,OK
47,47,Televisor FINLANDEK 32 pulgadas LED Hd Smart TV FILED3201IV,FINLANDEK,COP 569900,569900,COP,"32""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor FINLANDEK 32"" pulgadas LED Hd Smart TV FILED3201IV. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 32"" pulgadas. Resolución de la pantalla: Hd. Resolución: Hd. Sistema operativo: Vidaa. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 6W x 2. Procesador: MT9602. Garantía: 18 meses. Peso: 4.7 kg. Ancho: 47.24 cm. Alto: 17.05 cm. Profundidad: 72.1 cm. Modelo: FILED3201IV. Referencia: FILED3201IV",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27120035/Televisor-FINLANDEK-34-Pulgadas-LED-Hd-Smart-TV-FILED3201IV-3404473_a.jpg?v=638786905137800000,https://www.exito.com/televisor-finlandek-34-pulgadas-led-hd-smart-tv-filed3201iv-3127802/p,1,2025-09-25T14:57:41,OK
48,48,Televisor SAMSUNG 43 pulgadas LED Uhd4K Smart TV UN43CU7000KXZL,SAMSUNG,COP 1445990,1445990,COP,"43""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 43"" pulgadas LED Uhd-4K Smart TV UN43CU7000KXZL. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 43"" pulgadas. Resolución de la pantalla: Uhd-4K. Resolución: Uhd-4K. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 1. Potencia de Audio: 20 W. Procesador: Crystal Processor 4K. Garantía: 1 Año. Peso: 7.9 kg. Ancho: 96.4 cm. Alto: 62.7 cm. Profundidad: 19.2 cm. Modelo: UN43CU7000KXZL. Referencia: UN43CU7000KXZL",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27119919/Televisor-SAMSUNG-43-Pulgadas-LED-Uhd-4K-Smart-TV-UN43CU7000KXZL-3399590_a.jpg?v=638786904602170000,https://www.exito.com/televisor-samsung-43-pulgadas-led-uhd-4k-smart-tv-un43cu7000kxzl-3126659/p,1,2025-09-25T14:57:41,OK
49,49,Televisor  CAIXUN 40 pulgadas LED Fhd Smart TV C40VAFG,CAIXUN,COP 799900,799900,COP,"40""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor CAIXUN 40"" pulgadas LED Fhd Smart TV C40VAFG. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 40"" pulgadas. Resolución de la pantalla: Fhd. Resolución: Fhd. Sistema operativo: Google TV. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Bluetooth: Si. Número De Puertos HDMI: 3. Número De Puertos USB: 2. Potencia de Audio: 8 Watts x 2 CH. Procesador: ARM CA53 Quad Core. Garantía: 2 AÑOS. Peso: 5.35 kg. Ancho: 89.18 cm. Alto: 57.28 cm. Profundidad: 23.77 cm. Modelo: C40VAFG. Referencia: C40VAFG",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27119873/Televisor-CAIXUN-40-Pulgadas-LED-Fhd-Smart-TV-LED-2023-3396454_a.jpg?v=638786904367530000,https://www.exito.com/televisor-caixun-40-pulgadas-led-fhd-smart-tv-led-2023-3126023/p,1,2025-09-25T14:57:41,OK
50,50,Televisor SAMSUNG 32 pulgadas LED Hd Smart TV UN32T4300,SAMSUNG,COP 1064900,1064900,COP,"32""",No tiene Calificacion,0,"Descripción: Lleva a casa fácil y rápido Televisor SAMSUNG 32"" pulgadas LED Hd Smart TV UN32T4300. Encuentra la mejor garantía. Compra seguro en exito.com. Especificaciones: Tamaño de Pantalla: 32"" pulgadas. Resolución de la pantalla: Hd. Resolución: Hd. Sistema operativo: Tizen. Tipo de pantalla: LED. Tipo De pantalla: LED. Smart TV: Si. Conexión Wi-fi: Si. Número De Puertos HDMI: 2. Número De Puertos USB: 1. Potencia de Audio: 10W. Procesador: Hiperreal. Garantía: 1 año. Peso: 4 kg. Ancho: 73.74 cm. Alto: 43.8 cm. Profundidad: 7.41 cm. Modelo: UN32T4300. Referencia: UN32T4300A",exito.com,televisores,https://exitocol.vteximg.com.br/arquivos/ids/27116682/Televisor-LED-Samsung-32-pulgadas-81-CM-T4300-HD-Smart-TV-2020-1726998_a.jpg?v=638786888210530000,https://www.exito.com/televisor-led-samsung-32-pulgadas-81-cm-t4300-hd-smart-tv-2020-44488/p,1,2025-09-25T14:57:41,OK
